"Author","Year","Journal","Field","Unit.of.Study","Effect.Size","Mean","Significant","K","Species","Extracted.Statistic","Extracted.Type","H2","lnH.Ub","Q","SE.lnH.Eq.S5","SE.lnH.Mix","lnH.Bounded","H2.Bounded","I2","outlier.Bounded","outlier.Ub","Drop.metawin","Use.For.ES.MLMR.Ub","Use.For.ES.MLMR.Bounded"
"Rifkin",2012,"American Naturalist","Evolutionary Biology","between.sp","d",0.187,"Y",69,NA,1059.86,"Q",15.5861764705882,1.37319219886779,1059.86,0.0863836351457096,0.0398934827309985,1.37319219886779,15.5861764705882,0.935840582718472,0,0,0,1,1
"Slate",2003,"Molecular Ecology","Evolutionary Biology","between.sp","Zr",0.052,"Y",11,11,6.756,"Q",0.6756,-0.196077047024246,6.756,0.235216776336514,0.235216776336514,0,1,0,0,0,0,1,1
"Liu",2014,"Global Change Biology","Biodiversity and Conservation","community","lnRR",0.12,"Y",343,NA,1377.12,"Q",4.02666666666667,0.696469451919279,1377.12,0.038291924169076,0.0264349042942078,0.696469451919279,4.02666666666667,0.751655629139073,0,0,0,1,1
"Kinnear",2002,"Biological Conservation","Biodiversity and Conservation","between.sp","d",NA,"Y",12,4,60,"Q",5.45454545454545,0.848224644711865,60,0.223233808670043,0.13312009167201,0.848224644711865,5.45454545454545,0.816666666666667,0,0,0,1,1
"Whitlock",2014,"Journal of Ecology","Plant Sciences","between.sp","d",0.178,"Y",342,21,0.408,"I2",1.68918918918919,0.262124322049066,576.013513513513,0.0383481941536184,0.0334105861693861,0.262124322049066,1.68918918918919,0.408,0,0,0,1,1
"Garamszegi",2013,"Behavioral Ecology","Zoology","between.sp","Zr",0.211,"Y",28,NA,0.4452,"I2",1.80245133381399,0.29457379527073,48.6661860129777,0.13864085473966,0.113928289205776,0.29457379527073,1.80245133381399,0.4452,0,0,0,1,1
"Shafer",2013,"Ecology Letters","Ecology","between.sp","Zr",0.34,"Y",396,83,0.5236,"I2",2.09907640638119,0.370748720750496,829.135180520571,0.0356234867473023,0.0293482844474675,0.370748720750496,2.09907640638119,0.5236,0,0,0,1,1
"Lim",2014,"Evolution","Evolutionary Biology","between.sp","Zr",0.641,"Y",517,315,0.94451,"I2",18.0212650928095,1.44577622732216,9298.9727878897,0.0311588280623468,0.0138663491480061,1.44577622732216,18.0212650928095,0.94451,0,0,0,1,1
"Salkeld",2013,"Ecology Letters","Ecology","community","Zr",-0.2301,"N",16,NA,66.66,"Q",4.444,0.745777435888692,66.66,0.18882146894127,0.121042943668062,0.745777435888692,4.444,0.774977497749775,0,0,0,1,1
"McKechnie",2013,"Biological Conservation","Biodiversity and Conservation","between.sp","d",-0.356,"Y",72,68,722.71,"Q",10.179014084507,1.16016407907601,722.71,0.0845125507496252,0.0443753481089908,1.16016407907601,10.179014084507,0.901758658383031,0,0,0,1,1
"Cameron",2004,"Proceedings of the Royal Society B","Evolutionary Biology","between.sp","r",0.0027,"Y",422,NA,1050.28,"Q",2.49472684085511,0.457089620293309,1050.28,0.0345032453676333,0.0271562049523481,0.457089620293309,2.49472684085511,0.599154511177972,0,0,0,0,0
"Barto",2010,"Journal of Ecology","Plant Sciences","community","d",-2.96,"Y",99,NA,1122352.36,"Q",11452.5751020408,4.67298494171889,1122352.36,0.0717945440926919,0.00314833966624981,4.67298494171889,11452.5751020408,0.999912683392941,1,1,0,0,0
"Stankowich",2005,"Proceedings of the Royal Society B","Evolutionary Biology","between.sp","r",0.38,"Y",44,NA,0.92,"I2",12.5,1.26286432215413,537.5,0.1090986357737,0.0535846561080092,1.26286432215413,12.5,0.92,0,0,0,0,0
"Stankowich",2008,"Biological Conservation","Biodiversity and Conservation","between.sp","r",0.13,"Y",21,12,0.96,"I2",25,1.6094379124341,500,0.162146509364528,0.0634191801257871,1.6094379124341,25,0.96,0,0,0,0,0
"Smith",2008,"Behavioral Ecology","Zoology","between.sp","r",0.1,"Y",12,11,0.535,"I2",2.1505376344086,0.38285893669739,23.6559139784946,0.223233808670043,0.166766118606371,0.38285893669739,2.1505376344086,0.535,0,0,0,0,0
"Skau",2005,"Behavioral Ecology","Zoology","between.pop","d",0.41,"Y",20,1,12.75,"Q",0.671052631578947,-0.199453853781003,12.75,0.166580910722391,0.166580910722391,0,1,0,0,0,0,1,1
"Winternitz",2014,"Proceedings of the Royal Society B","Evolutionary Biology","between.sp","Zr",0.22,"N",5,81,0.7906,"I2",4.77554918815664,0.78175449027285,19.1021967526266,0.400616808384888,0.221133259036356,0.78175449027285,4.77554918815664,0.7906,0,0,0,1,1
"Ban",2014,"Global Change Biology","Biodiversity and Conservation","community","d",-0.332,"Y",26,NA,0.892,"I2",9.25925925925926,1.11281202592896,231.481481481482,0.144295796910973,0.0766580334153084,1.11281202592896,9.25925925925926,0.892,0,0,0,1,1
"Vetter",2013,"Biological Conservation","Biodiversity and Conservation","between.sp","lnOR",0.998,"N",33,NA,0.901,"I2",10.1010101010101,1.15631771442377,323.232323232324,0.126978099400164,0.0661190683620455,1.15631771442377,10.1010101010101,0.901,0,0,0,0,0
"Ben’tez-L—pez",2010,"Biological Conservation","Biodiversity and Conservation","between.sp","mean",0.6777,"Y",288,201,0.966,"I2",29.4117647058823,1.69069737718299,8441.17647058823,0.0418120153043729,0.015950774215375,1.69069737718299,29.4117647058823,0.966,0,0,0,0,0
"Simons",2011,"Behavioral Ecology","Zoology","between.pop","Zr",0.28,"Y",13,1,26.4,"Q",2.2,0.394228680182135,26.4,0.212906848929436,0.159572556354652,0.394228680182135,2.2,0.545454545454545,0,0,0,1,1
"Soma",2011,"Behavioral Ecology","Zoology","between.sp","Zr",0.245,"Y",75,27,189.7,"Q",2.56351351351351,0.470689391868399,189.7,0.0827580004483056,0.0640059568683768,0.470689391868399,2.56351351351351,0.609910384818134,0,0,0,1,1
"Bonardi",2011,"Biological Conservation","Biodiversity and Conservation","between.pop","Zr",-1.32,"Y",30,1,427.8,"Q",14.751724137931,1.34567998333092,427.8,0.133602210065925,0.0620105975398916,1.34567998333092,14.751724137931,0.93221131369799,0,0,0,1,1
"Lyons",2014,"Global Change Biology","Biodiversity and Conservation","community","d",-0.489,"Y",76,NA,1279.9,"Q",17.0653333333333,1.41852455766272,1279.9,0.0821969918038658,0.036952377447678,1.41852455766272,17.0653333333333,0.941401672005625,0,0,0,1,1
"Prugh",2014,"Journal of Animal Ecology","Zoology","between.sp","Zr",-0.28,"Y",118,59,1755.8,"Q",15.0068376068376,1.35425296884718,1755.8,0.0656524032409118,0.0307823823558067,1.35425296884718,15.0068376068376,0.933363708850666,0,0,0,1,1
"Rytwinski",2012,"Biological Conservation","Biodiversity and Conservation","between.sp","Zr",-0.077,"Y",455,228,2541.88,"Q",5.59885462555066,0.861281022835044,2541.88,0.0332227477263672,0.0209129752629808,0.861281022835044,5.59885462555066,0.821392040536925,0,0,0,1,1
"Jiang",2013,"American Naturalist","Evolutionary Biology","between.sp","Zr",0.2877,"Y",360,254,91275,"Q",254.24791086351,2.76915490901778,91275,0.0373717060386937,0.00691455785520273,2.76915490901778,254.24791086351,0.996066831005204,1,1,0,0,0
"Stahlheber",2013,"Biological Conservation","Biodiversity and Conservation","community","lnRR",0.325,"Y",33,NA,252.97,"Q",7.9053125,1.03376750091094,252.97,0.126978099400164,0.0710207281643526,1.03376750091094,7.9053125,0.873502786891726,0,0,0,1,1
"Ebensperger",2012,"Journal of Animal Ecology","Zoology","between.sp","r",0.074,"Y",308,51,0.5007,"I2",2.00280392549569,0.347274080737787,614.860805127178,0.0404225322227596,0.0336879662203002,0.347274080737787,2.00280392549569,0.5007,0,0,0,0,0
"Blanchet",2010,"Evolutionary Applications","Evolutionary Biology","between.sp","d",-1.981,"Y",4,4,24.44,"Q",8.14666666666667,1.04880442281764,24.44,0.478713553878169,0.220552271681195,1.04880442281764,8.14666666666667,0.877250409165303,0,0,0,1,1
"Schino",2001,"Animal Behaviour","Zoology","between.sp","r",0.329,"Y",27,14,49.832,"Q",1.91661538461538,0.325280404965181,49.832,0.14138363884599,0.114464521453838,0.325280404965181,1.91661538461538,0.478246909616311,0,0,0,0,0
"Roberts",2004,"Animal Behaviour","Zoology","between.pop","d",0.239,"Y",36,17,92,"Q",2.62857142857143,0.483220257779813,92,0.121250327432282,0.0919012818252724,0.483220257779813,2.62857142857143,0.619565217391304,0,0,0,1,1
"Bai",2013,"New Phytologist","Plant Sciences","community","lnRR",0.179,"Y",113,NA,98.34,"Q",0.878035714285714,-0.0650340046556505,98.34,0.0671146976397442,0.0671146976397442,0,1,0,0,0,0,1,1
"Englund",2011,"Ecology Letters","Ecology","between.sp","d",0.614,"Y",56,NA,373.6,"Q",6.79272727272727,0.957926260561108,373.6,0.0962195448766582,0.056699967281748,0.957926260561108,6.79272727272727,0.852783725910064,0,0,0,1,1
"Lewinsohn",2008,"Ecology Letters","Ecology","community","Zr",0.6328,"Y",80,NA,408.8,"Q",5.1746835443038,0.821889093211237,408.8,0.0800618835765086,0.0511642379484276,0.821889093211237,5.1746835443038,0.806751467710372,0,0,0,1,1
"Oduor",2010,"Biological Invasions","Biodiversity and Conservation","between.sp","d",-0.1187,"Y",81,8,556.9043,"Q",6.96130375,0.970183388603176,556.9043,0.0795536038437676,0.046723736487474,0.970183388603176,6.96130375,0.856348747890796,0,0,0,1,1
"Durrant",2014,"Conservation Biology","Biodiversity and Conservation","between.sp","r",0.6249,"Y",30,NA,585.97,"Q",20.2058620689655,1.5029863818704,585.97,0.133602210065925,0.056325853226652,1.5029863818704,20.2058620689655,0.950509411744629,0,0,1,0,0
"Hillebrand",2004,"American Naturalist","Evolutionary Biology","community","Zr",-0.729,"Y",581,NA,756.95,"Q",1.30508620689655,0.133134548758711,756.95,0.0293863403596411,0.0273670301591278,0.133134548758711,1.30508620689655,0.233767091617676,0,0,0,1,1
"Garcia-Palacios",2013,"Ecology Letters","Ecology","between.sp","lnRR",-0.398,"Y",440,166,777.64,"Q",1.77138952164009,0.285882139538634,777.64,0.0337868395672332,0.0291037797329783,0.285882139538634,1.77138952164009,0.435471426366956,0,0,0,1,1
"Osenberg",2002,"Ecology Letters","Ecology","between.sp","beta",0.00013,"Y",71,NA,939,"Q",13.4142857142857,1.29816011857945,939,0.0851226730596629,0.0411512453898449,1.29816011857945,13.4142857142857,0.925452609158679,0,0,1,0,0
"Branton",2011,"Conservation Biology","Biodiversity and Conservation","community","d",6,"Y",106,NA,1077.9,"Q",10.2657142857143,1.16440481631503,1077.9,0.0693364560792699,0.0364175116542336,1.16440481631503,10.2657142857143,0.902588366267743,0,0,1,1,1
"Bell",2009,"Animal Behaviour","Zoology","between.sp","mean",0.37,"Y",759,98,3860.9,"Q",5.09353562005277,0.813986105130277,3860.9,0.0257002256274653,0.016628667304662,0.813986105130277,5.09353562005277,0.803672718796136,0,0,0,0,0
"Ruggiero",2007,"Global Ecology and Biogeography","Ecology","between.sp","Zr",0.3109,"Y",246,42,4426.884,"Q",18.0689142857143,1.44709650949897,4426.884,0.0452677462969905,0.0201038346429625,1.44709650949897,18.0689142857143,0.944656331631911,0,0,0,1,1
"Molloy",2008,"Biological Conservation","Biodiversity and Conservation","between.sp","lnRR",1.34,"N",592,438,86099.18,"Q",145.683891708968,2.49071957457742,86099.18,0.0291111115488711,0.00654415405847648,2.49071957457742,145.683891708968,0.993135823128629,1,1,1,0,0
"Mosqueira",2000,"Animal Conservation","Biodiversity and Conservation","between.sp","lnRR",3.72,"Y",575,346,153650.65,"Q",267.684059233449,2.79490370081193,153650.65,0.0295397945683407,0.0053698554774893,2.79490370081193,267.68405923345,0.996264252705732,1,1,1,0,0
"Nakagawa",2007,"Behavioral Ecology","Zoology","between.pop","Zr",0.093,"Y",20,1,33.466,"Q",1.76136842105263,0.283045509452971,33.466,0.166580910722391,0.134884069315226,0.283045509452971,1.76136842105263,0.432259606765075,0,0,0,1,1
"Munguia-Rosas",2011,"Ecology Letters","Ecology","between.sp","Zr",-0.134,"N",87,87,24317,"Q",282.755813953488,2.82229183847728,24317,0.0766947296256015,0.0136043908864617,2.82229183847728,282.755813953488,0.996463379528725,1,1,0,0,0
"Cassey",2005,"Journal of Animal Ecology","Zoology","between.sp","Zr",0.04,"Y",24,NA,108.11,"Q",4.7004347826087,0.773827505687765,108.11,0.150703750237303,0.0967741982369043,0.773827505687765,4.70043478260869,0.787253723059846,0,0,0,1,1
"Ewen",2004,"Proceedings of the Royal Society B","Evolutionary Biology","between.sp","Zr",0.01,"N",139,NA,350.5,"Q",2.53985507246377,0.46605351065872,350.5,0.0604116728768261,0.0471080855494996,0.46605351065872,2.53985507246377,0.606276747503566,0,0,0,1,1
"Blackburn",2006,"Journal of Animal Ecology","Zoology","between.sp","Zr",0.655,"Y",279,272,5266.28,"Q",18.9434532374101,1.47072919811979,5266.28,0.0424858365804259,0.0186003855570448,1.47072919811979,18.9434532374101,0.947211314248388,0,0,0,1,1
"Stewart",2005,"Biological Conservation","Biodiversity and Conservation","community","d",1.628,"N",13,NA,117.99,"Q",9.8325,1.14284661266191,117.99,0.212906848929436,0.108164610124903,1.14284661266191,9.8325,0.898296465802187,0,0,0,1,1
"Kamiya",2014,"Ecography","Biodiversity and Conservation","community","Zr",0.618,"Y",38,NA,0.40914,"I2",1.69244829570457,0.263088088135467,62.620586941069,0.117835973470771,0.099386665192338,0.263088088135467,1.69244829570457,0.40914,0,0,0,1,1
"Kamiya",2014,"Molecular Ecology","Evolutionary Biology","between.sp","Zr",0.113,"N",28,14,0.5168,"I2",2.06953642384106,0.363662316180766,55.8774834437086,0.13864085473966,0.110491586384155,0.363662316180766,2.06953642384106,0.5168,0,0,0,1,1
"Chan",2013,"Global Change Biology","Biodiversity and Conservation","between.sp","beta",NA,"Y",25,23,0.8536,"I2",6.83060109289618,0.960706338727463,163.934426229508,0.147395495792579,0.085384775284487,0.960706338727463,6.83060109289618,0.8536,0,0,0,0,0
"Hector",2012,"Journal of Animal Ecology","Zoology","between.sp","d",-0.54,"Y",206,54,0.9581,"I2",23.8663484486874,1.58623472602702,4892.60143198091,0.049507178877831,0.0201563731318524,1.58623472602702,23.8663484486874,0.9581,0,0,0,1,1
"Hovick",2014,"Ecology Letters","Ecology","between.sp","d",0.136,"N",12,13,0.971,"I2",34.4827586206896,1.77022972449783,379.310344827586,0.223233808670043,0.0770989388334078,1.77022972449783,34.4827586206896,0.971,0,0,0,1,1
"Claudet",2008,"Ecology Letters","Ecology","between.sp","lnRR",0.8,"N",40,137,4.6,"Q",0.117948717948718,-1.0687526713173,4.6,0.114694626574305,0.114694626574305,0,1,0,0,1,0,0,1
"Hasselquist",2012,"Animal Behaviour","Zoology","between.sp","d",0.31,"Y",14,10,16.6,"Q",1.27692307692308,0.12222666895048,16.6,0.203887753554211,0.160414217167478,0.12222666895048,1.27692307692308,0.216867469879518,0,0,0,1,1
"Cote",1997,"Conservation Biology","Biodiversity and Conservation","between.sp","d",0.676,"Y",14,NA,18.39,"Q",1.41461538461538,0.173428840577346,18.39,0.203887753554211,0.162897259105135,0.173428840577346,1.41461538461538,0.293094072865688,0,0,0,1,1
"Gurevitch",2000,"American Naturalist","Evolutionary Biology","community","d",0.115,"Y",20,NA,44.1,"Q",2.32105263157895,0.42101040164318,44.1,0.166580910722391,0.127242566028852,0.42101040164318,2.32105263157895,0.569160997732426,0,0,0,1,1
"Fiske",1998,"Behavioral Ecology","Zoology","between.sp","r",0.27,"Y",32,17,45.14,"Q",1.45612903225806,0.187890783452122,45.14,0.129075535354925,0.111090608550756,0.187890783452122,1.45612903225806,0.313247673903412,0,0,0,0,0
"Cadotte",2006,"American Naturalist","Evolutionary Biology","community","d",1.153,"Y",40,NA,50.89,"Q",1.30487179487179,0.133052397235547,50.89,0.114694626574305,0.101285046470634,0.133052397235547,1.30487179487179,0.233641186873649,0,0,0,1,1
"Beauchamp",2008,"Behavioral Ecology","Zoology","between.sp","Zr",-0.42,"Y",43,33,53.3,"Q",1.26904761904762,0.119133356444215,53.3,0.110420576540729,0.0981091518738914,0.119133356444215,1.26904761904762,0.212007504690431,0,0,0,1,1
"Cote",1995,"Behavioral Ecology","Zoology","between.sp","r",0.091,"N",15,NA,55.77,"Q",3.98357142857143,0.691089380393102,55.77,0.195922631257678,0.128812082159817,0.691089380393102,3.98357142857143,0.748968979738211,0,0,0,0,0
"Dolman",1997,"Journal of Animal Ecology","Zoology","between.sp","Zr",0.583,"Y",24,NA,75.581,"Q",3.28613043478261,0.59485535645908,75.581,0.150703750237303,0.106479117656212,0.59485535645908,3.28613043478261,0.695690715920668,0,0,0,1,1
"Cameron",1998,"Animal Behaviour","Zoology","between.sp","r",0.24,"Y",26,8,103.22,"Q",4.1288,0.70899340392619,103.22,0.144295796910973,0.0962257702396723,0.70899340392619,4.1288,0.757798876186785,0,0,0,0,0
"Waring",2013,"Ecology Letters","Ecology","community","RR",7.5,"N",52,NA,149.72,"Q",2.9356862745098,0.538470625155951,149.72,0.0999933331110963,0.0742261577375877,0.538470625155951,2.9356862745098,0.659364146406626,0,0,0,0,0
"Jones",2009,"American Naturalist","Evolutionary Biology","between.sp","Zr",-0.006,"N",47,14,151.077,"Q",3.28428260869565,0.59457412206431,151.077,0.105400579323018,0.0758077345389339,0.59457412206431,3.28428260869565,0.695519503299642,0,0,0,1,1
"Santos",2011,"Animal Behaviour","Zoology","between.sp","Zr",0.376,"Y",127,23,184.427,"Q",1.46370634920635,0.190485907138414,184.427,0.0632448785805354,0.0566485240241429,0.190485907138414,1.46370634920635,0.316802854245853,0,0,0,1,1
"M¿ller",1999,"Proceedings of the Royal Society B","Evolutionary Biology","between.sp","Zr",0.1226,"Y",22,NA,197.52,"Q",9.40571428571429,1.12065870365675,197.52,0.158047988492947,0.0831812671681918,1.12065870365675,9.40571428571428,0.893681652490887,0,0,0,1,1
"Coltman",2003,"Evolution","Evolutionary Biology","between.sp","Zr",0.0274,"Y",115,22,205.7,"Q",1.80438596491228,0.295110174132208,205.7,0.0665181422823997,0.0565726795621988,0.295110174132208,1.80438596491228,0.445794846864366,0,0,0,1,1
"M¿ller",1999,"Ecology Letters","Ecology","between.sp","Zr",-0.2533,"Y",29,23,216.86,"Q",7.745,1.02352373693442,216.86,0.13605164818779,0.0763268499314396,1.02352373693442,7.745,0.87088444157521,0,0,0,1,1
"Poulin",1994,"Animal Behaviour","Zoology","between.sp","d",0.523,"Y",61,14,217.28,"Q",3.62133333333333,0.643421141074115,217.28,0.0920530540685979,0.0647474940325354,0.643421141074115,3.62133333333333,0.723858615611193,0,0,0,1,1
"Kroeker",2010,"Ecology Letters","Ecology","between.sp","lnRR",-0.131,"Y",86,59,224.76,"Q",2.64423529411765,0.48619095487684,224.76,0.0771498525938061,0.059277940814895,0.48619095487684,2.64423529411765,0.621818828973127,0,0,0,1,1
"Newton",2009,"Biological Conservation","Biodiversity and Conservation","community","RR",1.19,"Y",31,NA,302.91,"Q",10.097,1.15611917501109,302.91,0.131280408395517,0.0682790612631567,1.15611917501109,10.097,0.900960681390512,0,0,0,0,0
"Gruner",2008,"Ecology Letters","Ecology","community","lnRR",1.26,"Y",191,NA,343.72,"Q",1.80905263157895,0.296401650142268,343.72,0.0514342100044875,0.0439038451556015,0.296401650142268,1.80905263157895,0.447224485045968,0,0,0,1,1
"Britten",1996,"Evolution","Evolutionary Biology","between.sp","Zr",0.181,"Y",32,13,378.23,"Q",12.2009677419355,1.25075763585138,378.23,0.129075535354925,0.0635109707165597,1.25075763585138,12.2009677419355,0.918039288263755,0,0,0,1,1
"Marklein",2012,"New Phytologist","Plant Sciences","between.sp","lnRR",1.46,"Y",132,NA,771.08,"Q",5.88610687022901,0.88629740316412,771.08,0.0620167556804711,0.0383432027130032,0.88629740316412,5.88610687022901,0.830108419359859,0,0,0,1,1
"Castro-Diez",2014,"Ecology Letters","Ecology","community","d",0.63,"Y",345,NA,805,"Q",2.34011627906977,0.425100310022582,805,0.0381801233283301,0.0305517198525038,0.425100310022582,2.34011627906977,0.572670807453416,0,0,0,1,1
"M¿ller",1998,"American Naturalist","Evolutionary Biology","between.sp","Zr",-0.4477,"Y",62,41,1062,"Q",17.4098360655738,1.42851766881429,1062,0.0912828665653915,0.040713733830437,1.42851766881429,17.4098360655738,0.94256120527307,0,0,0,1,1
"Chapman",2009,"Molecular Ecology","Evolutionary Biology","between.sp","Zr",0.08,"N",628,61,1185.2,"Q",1.8902711323764,0.318360137533245,1185.2,0.0282616589273898,0.0239566413442216,0.318360137533245,1.8902711323764,0.470975362807965,0,0,0,1,1
"Stewart",2009,"Conservation Letters","Biodiversity and Conservation","community","d",0.293,"Y",481,NA,1366.5,"Q",2.846875,0.523110950733093,1366.5,0.0323085100185327,0.0245472401541097,0.523110950733093,2.846875,0.648737650933041,0,0,0,1,1
"Gontard-Danek",1999,"Behavioral Ecology","Zoology","between.sp","Zr",0.3095,"Y",138,80,1933.6,"Q",14.1138686131387,1.32357895178057,1933.6,0.0606333598870799,0.0289851074495332,1.32357895178057,14.1138686131387,0.929147703764998,0,0,0,1,1
"Comita",2014,"Journal of Ecology","Plant Sciences","between.sp","lnOR",-0.43,"Y",154,108,2985.54,"Q",19.5133333333333,1.48554899629782,2985.54,0.0573535197287472,0.0248384199175108,1.48554899629782,19.5133333333333,0.948752989408951,0,0,0,0,0
"Claudet",2010,"Biological Conservation","Biodiversity and Conservation","community","lnRR",-2.8,"",3,NA,4600.35,"Q",2300.175,3.87037024298965,4600.35,0.577350269189626,0.0410918678572319,3.87037024298965,2300.175,0.999565250470073,1,1,0,0,0
"Gurevitch",1992,"American Naturalist","Evolutionary Biology","between.sp","d",0.8,"Y",217,93,4955.24,"Q",22.9409259259259,1.56646123691513,4955.24,0.048224108341544,0.0198812571766693,1.56646123691513,22.9409259259259,0.956409780353727,0,0,0,1,1
